,,,,
,,,,
Nombre del indicador,"Porcentaje de niñas, niños y adolescentes de 0 a 17 años que habitan en viviendas sin hacinamiento",,,
Dominio,Desarrollo,,,
Derecho,Vivir en condiciones de bienestar y sano desarrollo integral,,,
Dimensión,Vivienda,,,
Unidad de medida,Porcentaje,,,
Indicador según fuente oficial,"Porcentaje de niñas, niños y adolescentes que habitan en viviendas sin hacinamiento",,,
Fuente,Estimaciones del CONEVAL con base en la Encuesta Nacional de Ingresos y Gastos de ,,,
,los Hogares (ENIGH) 2016-2020.,,,
,,,,
"Definición: Porcentaje de niñas, niños y adolescentes en viviendas sin hacinamiento (condición que se presenta ",,,,
cuando hay 2.5 habitantes por dormitorio).,,,,
,,,,
Nota: la ficha del metadato se puede consultar en ,,,,
http://portales.segob.gob.mx/work/models/Derechos_Humanos/Indicadores/15032022/CONEVAL_Hacinamiento_M.pdf,,,,
,,,,
"Porcentaje de niñas, niños y adolescentes de 0 a 17 años que habitan en viviendas sin hacinamiento en Morelos 2016-2020",,,,
por sexo y población indígena.,,,,
Clave_Geográfica,Nombre_Geográfico,,Desagregación,
17,Morelos,,"Sexo, año y población indígena",
Año,,2016,2018,2020
Total,,87.2,88.0,90.9
Femenino,,87.1,87.6,90.8
Masculino,,87.3,88.4,91.0
Población indígena,,74.0,79.9,82.5
