,,,,
,,,,
Nombre del indicador,Tasa de mortalidad infantil en niñas y niños menores de 5 años por enfermedades diarreicas ,,,
Dominio,Desarrollo,,,
Derecho,A vivir en condiciones de bienestar y sano desarrollo integral,,,
Dimensión,Supervivencia,,,
Unidad de medida,Tasa por cada 100 mil,,,
Indicador según fuente oficial,Tasa de mortalidad infantil en niñas y niños menores de 5 años por enfermedades diarreicas ,,,
Fuente,Estimaciones de Secretaría de Salud con base en los datos de mortalidad y proyecciones de CONAPO ,,,
,2018-2021.,,,
,,,,
Descripción: Es el número de defunciones en los menores de 5 años de edad por enfermedades diarreicas por cada 100 mil niños,,,,
menores de 5 años en el año de referencia.,,,,
,,,,
Nota: la ficha del metadato se puede consultar en,,,,
 https://www.snieg.mx/cni/infometadato.aspx?idOrden=1.1&ind=6300000072&porDetalle=no&gen=268&d=n,,,,
,,,,
Tasa de mortalidad infantil en niñas y niños menores de 5 años por enfermedades diarreicas en Morelos 2018-2021.,,,,
Clave_Geográfica,Nombre_Geográfico,,Desagregación,
17,Morelos,,Anual,
Año,kpi 8-2018,kpi 8-2019,kpi 8-2020,kpi 8-2021
Valor,1.2,2.4,4.1,3.0
