,,,,
,,,,
Nombre del indicador,"Abandono escolar  de niñas, niños y adolescentes de 0 a 17 años por nivel educativo",,,
Dominio,Desarrollo,,,
Derecho,Educación,,,
Dimensión,Servicios educativos,,,
Unidad de medida,Porcentaje,,,
Indicador según fuente oficial,Abandono escolar  de alumnos (as) por nivel educativo,,,
Fuente,"Estimaciones de la SEP, con base en datos de la Dirección General de Planeación, Programación y ",,,
,Estadística Educativa  (DGPPEE) 2018-2021,,,
,,,,
"Descripción:  Número de alumnos (as) matriculados que abandonan la escuela de un periodo escolar a otro, por cada cien",,,,
alumnos que se matriculan al inicio de cursos de un mismo nivel educativo.El indicador es una relación expresada en términos ,,,,
porcentuales. Se aplica de manera independiente por nivel educativo.,,,,
,,,,
Nota: la ficha del metadato se puede consultar en ,,,,
http://portales.segob.gob.mx/work/models/Derechos_Humanos/pdf/Aband_escolar_alumnos_as_x_nivel_educat.pdf,,,,
,,,,
"Abandono escolar  de niñas, niños y adolescentes de 6 a 17 años en Morelos por",,,,
por nivel educativo y sexo 2018-2021.,,,,
Clave_Geográfica,Nombre_Geográfico,Desagregación,,
17,Morelos,Nivel educativo y sexo,,
Ciclo escolar,,Hombres,Mujeres,
2018-2019,Primaria,1.2,0.8,
,Secundaria,6.0,4.5,
,Media superior,19.7,14.6,
2019-2020,Primaria,0.9,1.0,
,Secundaria,4.2,2.3,
,Media superior,17.0,12.5,
2020-2021,Primaria,1.2,0.9,
,Secundaria,5.8,3.2,
,Media superior,20.0,12.8,
,,,,Elaborado por la Dirección de Administración del Sistema de Información Nacional de la SE-SIPINNA con base en datos de la SEP.
,,,,
"Abandono escolar  de niñas, niños y adolescentes de 0 a 17 años en Morelos por",,,,
nivel educativo y ciclo escolar 2018-2021.,,,,
Clave_Geográfica,Nombre_Geográfico,Desagregación,,
17,Morelos,Nivel educativo,,
Ciclo escolar,Primaria,Secundaria,Media superior,
2018-2019,1.0,5.2,17.1,
2019-2020,1.0,3.2,14.7,
2020-2021,1.0,4.5,16.3,
