,,,
,,,
Nombre del indicador,Proporción de adolescente y mujeres de 15 a 24 años sexualmente activas con demanda satisfecha de  métodos anticonceptivos modernos,,
,,,
Dominio,Supervivencia,,
Derecho,Protección de la salud y seguridad social,,
Dimensión,Salud Sexual y reproductiva,,
Unidad de medida,Porcentaje,,
Indicador según fuente,Proporción de mujeres de 15 a 24 años sexualmente activas con demanda satisfecha de  métodos  ,,
oficial,anticonceptivos modernos,,
Fuente,Estimaciones de CONAPO con base en la Encuesta Nacional de la Dinámica Demográfica 2014-2018,,
,,,
Descripción: Porcentaje de mujeres sexualmente activas de 15 a 24 años que hacen uso de métodos anticonceptivos modernos ,,,
manifestando su deseo expreso de no querer tener hijos por un tiempo (espaciar nacimientos) o nunca más (limitar nacimientos),,,
,,,
Nota: la ficha del metadato se puede consultar en ,,,
http://portales.segob.gob.mx/work/models/Derechos_Humanos/pdf/Prop_mujeres_15a24_con_demanda_metod_anticoncep.pdf,,,
,,,
Proporción de adolescentes y mujeres de 15 a 24 años sexualmente activas con demanda satisfecha de métodos anticonceptivos modernos en Morelos 2014-2018.,,,
,,,
Clave_Geográfica,Nombre_Geográfico,,Desagregación
17,Morelos,,Total 
Año,2014,,2018
Valor,75.1,,77.1
