,,,,,
,,,,,
Nombre del indicador,Tasa de fecundidad de niñas de 10 a 14 años,,,,
Dominio,Supervivencia,,,,
Derecho,Protección de la salud y seguridad social,,,,
Dimensión,Salud sexual y reproductiva,,,,
Indicador según fuente oficial,Razón de fecundidad de niñas de 10 a 14 años,,,,
Unidad de medida ,"Tasa por cada 1,000",,,,
Fuente,Estimaciones de CONAPO con base en la Conciliación demográfica de México 1950-2015 y las ,,,,
,Proyecciones de la población de México y de las entidades federativas 2016-2050 e INEGI. ,,,,
,Registros Administrativos de Natalidad 1990-2019.,,,,
,,,,,
Descripción: Es el cociente del número de nacimientos ocurridos en niñas entre 10 y 14 años que tienen lugar en un ,,,,,
determinado año entre el total de niñas de 10 a 14 años a mitad de ese año por 1 000.,,,,,
,,,,,
Nota: la ficha del metadato se puede consultar en ,,,,,
http://portales.segob.gob.mx/work/models/Derechos_Humanos/pdf/Razon_fecundidad_ninas_10a14.pdf,,,,,
,,,,,
Tasa de fecundidad de niñas de 10 a 14 años en Morelos 2018-2021 por grupo de edad. ,,,,,
Clave_Geográfica,17,Nombre_Geográfico,Morelos,Desagregación,Por grupo de edad y año 
Año,,2018,2019,2020,2021
De 10 a 14 años,,1.61,1.60,1.60,1.61
De 12 a 14 años,,2.66,2.65,2.66,2.67
