,,,,
,,,,
Nombre del indicador,"Número de bibliotecas públicas, casas y centros de cultura por cada 100 mil niñas, niños y adolescentes de 0 a 17 años",,,
,,,,
Dominio,Participación y acceso a la información,,,
Derecho,Al descanso y al esparcimiento,,,
Dimensión,Cultura y recreación,,,
Unidad de medida,Tasa por cada 100mil,,,
Indicador según fuente ,"Número de bibliotecas públicas, casas y centros de cultura por cada 100 mil niñas, ",,,
oficial,niños y adolescentes,,,
Fuente,"Estimación de la Secretaría de Cultura con base en el Sistema de Información Cultural (SIC), Cultura y",,,
,Proyecciones de la Población de México y de las Entidades Federativas de CONAPO 2018-2021,,,
,,,,
"Descripción: Es el número de bibliotecas públicas, casas y centros de cultura por cada 100 mil niñas, niños y",,,,
 adolescentes por entidad federativa.,,,,
,,,,
Nota: la ficha del metadato se puede consultar en ,,,,
http://portales.segob.gob.mx/work/models/Derechos_Humanos/pdf/Numero_de_bibliotecaspublicas-casas-centrosdecultura_por_cada_100_mil_nna.pdf,,,,
,,,,
"Número de bibliotecas públicas, casas y centros de cultura por cada 100 mil niñas, niños y adolescentes de 0 a 17 años en Morelos 2018-2021.",,,,
,,,,
Clave_Geográfica,Nombre_Geográfico,,Desagregación,
16,Morelos,,Total,
Año,2018,2019,2020,2021
Valor,32.4,32.4,32.5,32.6
