Clave Geográfica,Nombre Geográfico,Desagregación,Serie,Año,Valor
17,Morelos,Tipo de homicidio,Total homicidio doloso,2018,6.39
17,Morelos,Tipo de homicidio,Total homicidio doloso,2019,6.72
17,Morelos,Tipo de homicidio,Total homicidio doloso,2020,6.56
17,Morelos,Tipo de homicidio,Total homicidio culposo,2018,5.24
17,Morelos,Tipo de homicidio,Total homicidio culposo,2019,2.29
17,Morelos,Tipo de homicidio,Total homicidio culposo,2020,1.64
17,Morelos,Tipo de homicidio y sexo,Total homicidio doloso Hombres,2018,10.94
17,Morelos,Tipo de homicidio y sexo,Total homicidio doloso Hombres,2019,11.25
17,Morelos,Tipo de homicidio y sexo,Total homicidio doloso Hombres,2020,10.29
17,Morelos,Tipo de homicidio y sexo,Total homicidio doloso Mujeres,2018,1.67
17,Morelos,Tipo de homicidio y sexo,Total homicidio doloso Mujeres,2019,2.01
17,Morelos,Tipo de homicidio y sexo,Total homicidio doloso Mujeres,2020,2.68
17,Morelos,Tipo de homicidio y sexo,Total homicidio culposo Hombres,2018,7.08
17,Morelos,Tipo de homicidio y sexo,Total homicidio culposo Hombres,2019,3.22
17,Morelos,Tipo de homicidio y sexo,Total homicidio culposo Hombres,2020,2.25
17,Morelos,Tipo de homicidio y sexo,Total homicidio culposo Mujeres,2018,3.34
17,Morelos,Tipo de homicidio y sexo,Total homicidio culposo Mujeres,2019,1.34
17,Morelos,Tipo de homicidio y sexo,Total homicidio culposo Mujeres,2020,1.00
