,,,,,
,,,,,
Nombre del indicador,Mortalidad materna por cada 100 mil nacidos vivos,,,,
Dominio,Desarrollo,,,,
Derecho,Vivir en condiciones de bienestar y sano desarrollo integral,,,,
Dimensión,Supervivencia,,,,
Unidad de medida,Número de muertes maternas por cada 100 mil nacidos vivos,,,,
Indicador según fuente oficial,Razón de mortalidad materna,,,,
Fuente,Estimaciones de la Secretaría de Salud/Dirección General de Información en Salud con base en las ,,,,
,defunciones de INEGI/SS y los nacidos del Subsistema de Información de Nacimientos 2018-2021,,,,
,,,,,
Descripción: Es el número de defunciones de mujeres mientras se encuentren embarazadas o dentro de los 42 días  ,,,,,
"siguientes a la terminación del embarazo, debida a cualquier causa relacionada con o agravada por el embarazo mismo ",,,,,
"o su atención (con exclusión de las muertes accidentales o incidentales), en un determinado año, por cada 100 mil ",,,,,
nacidos vivos en ese mismo año. Representa el riesgo obstétrico.,,,,,
,,,,,
Nota: la ficha del metadato se puede consultar en ,,,,,
https://www.snieg.mx/cni/infometadato.aspx?idOrden=1.1&ind=6300000085&porDetalle=no&gen=178&d=n,,,,,
,,,,,
Mortalidad materna por cada 100 mil nacidos vivos en Morelos 2018-2021.,,,,,
Clave_Geográfica,,Nombre_,Geográfico,Desagregación,
17,,Morelos,,Anual,
Año,,2018,2019,2020,2021
Valor,,20.8,8.8,47.5,39.1
